date	rating
16-Mar-1930	1483
23-Mar-1930	1464
6-Apr-1930	1492
13-Apr-1930	1481
20-Apr-1930	1460
27-Apr-1930	1456
3-May-1930	1469
11-May-1930	1458
18-May-1930	1449
24-May-1930	1456
1-Jun-1930	1442
8-Jun-1930	1433
15-Jun-1930	1441
24-Aug-1930	1453
31-Aug-1930	1463
7-Sep-1930	1486
14-Sep-1930	1503
21-Sep-1930	1497
28-Sep-1930	1483
12-Oct-1930	1472
19-Oct-1930	1482
16-Nov-1930	1490
30-Nov-1930	1487
7-Dec-1930	1467
14-Dec-1930	1454
21-Dec-1930	1465
29-Mar-1931	1451
5-Apr-1931	1462
12-Apr-1931	1476
30-Apr-1931	1488
10-May-1931	1483
17-May-1931	1469
31-May-1931	1463
7-Jun-1931	1455
14-Jun-1931	1464
21-Jun-1931	1471
28-Jun-1931	1464
20-Sep-1931	1460
4-Oct-1931	1460
18-Oct-1931	1459
25-Oct-1931	1466
1-Nov-1931	1455
8-Nov-1931	1451
15-Nov-1931	1465
22-Nov-1931	1458
29-Nov-1931	1450
6-Dec-1931	1436
13-Dec-1931	1453
20-Dec-1931	1472
27-Dec-1931	1464
3-Jan-1932	1473
10-Jan-1932	1480
1-May-1932	1495
15-May-1932	1519
22-May-1932	1523
5-Jun-1932	1541
12-Jun-1932	1536
19-Jun-1932	1544
26-Jun-1932	1538
6-Nov-1932	1552
20-Nov-1932	1549
27-Nov-1932	1558
18-Dec-1932	1567
20-Jun-1937	1582
27-Jun-1937	1568
4-Jul-1937	1566
25-Jul-1937	1553
8-Aug-1937	1542
22-Aug-1937	1541
29-Aug-1937	1557
5-Sep-1937	1571
19-Sep-1937	1583
17-Oct-1937	1585
31-Oct-1937	1565
7-Nov-1937	1549
21-Nov-1937	1544
28-Nov-1937	1549
13-Mar-1938	1539
3-Apr-1938	1525
25-Sep-1938	1543
16-Oct-1938	1554
13-Nov-1938	1571
4-Dec-1938	1557
18-Dec-1938	1557
8-Jan-1939	1544
19-Mar-1939	1555
26-Mar-1939	1550
9-Apr-1939	1535
21-May-1939	1525
28-May-1939	1520
11-Jun-1939	1519
18-Jun-1939	1531
25-Jun-1939	1518
9-Jul-1939	1508
16-Jul-1939	1529
23-Jul-1939	1528
30-Jul-1939	1545
20-Aug-1939	1555
3-Sep-1939	1547
24-Sep-1939	1556
1-Oct-1939	1541
8-Oct-1939	1533
22-Oct-1939	1527
29-Oct-1939	1543
5-Nov-1939	1525
12-Nov-1939	1541
7-Jan-1940	1519
21-Jan-1940	1526
26-May-1940	1515
2-Jun-1940	1526
9-Jun-1940	1517
16-Jun-1940	1514
23-Jun-1940	1508
30-Jun-1940	1490
14-Jul-1940	1465
17-Aug-1940	1479
25-Aug-1940	1477
1-Sep-1940	1463
8-Sep-1940	1453
15-Sep-1940	1446
22-Sep-1940	1472
29-Sep-1940	1468
20-Oct-1940	1456
3-Nov-1940	1450
17-Nov-1940	1437
30-Nov-1940	1420
14-Dec-1940	1412
29-Dec-1940	1395
9-Mar-1941	1386
23-Mar-1941	1375
12-Apr-1941	1385
20-Apr-1941	1403
11-May-1941	1399
18-May-1941	1378
25-May-1941	1376
8-Jun-1941	1371
29-Jun-1941	1366
6-Jul-1941	1373
20-Jul-1941	1378
3-Aug-1941	1385
10-Aug-1941	1376
17-Aug-1941	1365
24-Aug-1941	1363
31-Aug-1941	1360
14-Sep-1941	1373
21-Sep-1941	1382
4-Oct-1941	1396
19-Oct-1941	1410
22-Mar-1942	1431
5-Apr-1942	1424
12-Apr-1942	1418
19-Apr-1942	1424
3-May-1942	1412
17-May-1942	1424
7-Jun-1942	1421
14-Jun-1942	1410
21-Jun-1942	1404
28-Jun-1942	1419
12-Jul-1942	1434
19-Jul-1942	1455
26-Jul-1942	1460
2-Aug-1942	1449
9-Aug-1942	1444
23-Aug-1942	1458
30-Aug-1942	1451
8-Sep-1942	1465
20-Sep-1942	1477
27-Sep-1942	1472
21-Mar-1943	1465
28-Mar-1943	1459
3-Apr-1943	1467
18-Apr-1943	1484
25-Apr-1943	1501
1-May-1943	1518
8-May-1943	1524
16-May-1943	1512
6-Jun-1943	1528
20-Jun-1943	1523
11-Jul-1943	1546
18-Jul-1943	1541
31-Jul-1943	1553
8-Aug-1943	1565
15-Aug-1943	1569
22-Aug-1943	1565
29-Aug-1943	1576
7-Sep-1943	1560
12-Sep-1943	1561
25-Sep-1943	1566
19-Mar-1944	1567
26-Mar-1944	1572
2-Apr-1944	1578
9-Apr-1944	1588
15-Apr-1944	1599
23-Apr-1944	1572
27-May-1944	1579
11-Jun-1944	1575
18-Jun-1944	1579
25-Jun-1944	1572
9-Jul-1944	1556
16-Jul-1944	1552
23-Jul-1944	1544
29-Jul-1944	1542
5-Aug-1944	1545
19-Aug-1944	1541
3-Sep-1944	1553
10-Sep-1944	1546
8-Oct-1944	1552
15-Oct-1944	1526
1-Apr-1945	1505
8-Apr-1945	1522
15-Apr-1945	1532
15-Apr-1945	1525
28-Apr-1945	1520
13-May-1945	1516
20-May-1945	1499
27-May-1945	1509
3-Jun-1945	1518
17-Jun-1945	1505
1-Jul-1945	1498
