date	rating
3-Jun-1951	1499
9-Jun-1951	1492
24-Jun-1951	1498
29-Jul-1951	1521
5-Aug-1951	1544
12-Aug-1951	1535
19-Aug-1951	1550
25-Aug-1951	1568
2-Sep-1951	1556
7-Sep-1951	1551
16-Sep-1951	1540
23-Sep-1951	1511
29-Sep-1951	1506
6-Oct-1951	1516
21-Oct-1951	1515
28-Oct-1951	1511
11-Nov-1951	1505
17-Nov-1951	1496
24-Nov-1951	1502
2-Dec-1951	1504
9-Dec-1951	1488
16-Dec-1951	1504
23-Dec-1951	1503
30-Dec-1951	1498
5-Jan-1952	1516
13-Jan-1952	1513
20-Jan-1952	1518
27-Jan-1952	1529
31-Aug-1952	1526
7-Sep-1952	1541
14-Sep-1952	1548
17-Sep-1952	1556
21-Sep-1952	1553
28-Sep-1952	1549
5-Oct-1952	1540
12-Oct-1952	1536
19-Oct-1952	1534
22-Oct-1952	1527
26-Oct-1952	1512
2-Nov-1952	1500
5-Nov-1952	1509
9-Nov-1952	1505
16-Nov-1952	1495
23-Nov-1952	1493
26-Nov-1952	1484
30-Nov-1952	1471
7-Dec-1952	1466
10-Dec-1952	1464
14-Dec-1952	1454
21-Dec-1952	1462
28-Dec-1952	1446
31-Dec-1952	1464
4-Jan-1953	1474
8-Jan-1953	1470
11-Jan-1953	1486
18-Jan-1953	1474
25-Jan-1953	1475
31-Jan-1953	1505
19-Jul-1953	1496
26-Jul-1953	1496
2-Aug-1953	1502
8-Aug-1953	1520
16-Aug-1953	1518
29-Aug-1953	1500
6-Sep-1953	1510
8-Sep-1953	1502
13-Sep-1953	1504
16-Sep-1953	1501
20-Sep-1953	1519
27-Sep-1953	1505
10-Oct-1953	1525
18-Oct-1953	1534
1-Nov-1953	1531
8-Nov-1953	1544
15-Nov-1953	1542
29-Nov-1953	1549
5-Dec-1953	1555
8-Dec-1953	1548
13-Dec-1953	1554
20-Dec-1953	1551
27-Dec-1953	1554
10-Jan-1954	1538
17-Jan-1954	1552
24-Jan-1954	1541
31-Jan-1954	1531
7-Feb-1954	1542
15-Aug-1954	1559
22-Aug-1954	1578
29-Aug-1954	1567
5-Sep-1954	1580
8-Sep-1954	1578
12-Sep-1954	1574
19-Sep-1954	1582
26-Sep-1954	1572
10-Oct-1954	1585
16-Oct-1954	1575
24-Oct-1954	1584
31-Oct-1954	1580
7-Nov-1954	1568
21-Nov-1954	1580
24-Nov-1954	1572
5-Dec-1954	1561
12-Dec-1954	1555
19-Dec-1954	1568
26-Dec-1954	1554
2-Jan-1955	1550
9-Jan-1955	1565
16-Jan-1955	1553
23-Jan-1955	1560
30-Jan-1955	1537
6-Feb-1955	1545
13-Feb-1955	1556
31-Jul-1955	1564
7-Aug-1955	1551
14-Aug-1955	1547
28-Aug-1955	1529
3-Sep-1955	1550
7-Sep-1955	1538
11-Sep-1955	1531
18-Sep-1955	1527
25-Sep-1955	1515
2-Oct-1955	1531
9-Oct-1955	1531
12-Oct-1955	1542
19-Oct-1955	1540
30-Oct-1955	1534
6-Nov-1955	1523
9-Nov-1955	1517
13-Nov-1955	1524
20-Nov-1955	1549
27-Nov-1955	1546
30-Nov-1955	1547
4-Dec-1955	1541
11-Dec-1955	1558
18-Dec-1955	1546
24-Dec-1955	1556
8-Jan-1956	1544
15-Jan-1956	1542
9-Oct-1957	1529
13-Oct-1957	1523
16-Oct-1957	1533
20-Oct-1957	1522
30-Oct-1957	1537
3-Nov-1957	1531
6-Nov-1957	1527
10-Nov-1957	1501
17-Nov-1957	1506
20-Nov-1957	1501
24-Nov-1957	1496
27-Nov-1957	1507
1-Dec-1957	1520
4-Dec-1957	1510
8-Dec-1957	1507
11-Dec-1957	1517
18-Dec-1957	1525
22-Dec-1957	1513
25-May-1958	1503
1-Jun-1958	1483
8-Jun-1958	1473
14-Jun-1958	1483
22-Jun-1958	1495
28-Jun-1958	1497
13-Jul-1958	1504
20-Jul-1958	1500
27-Jul-1958	1508
30-Jul-1958	1503
3-Aug-1958	1504
10-Aug-1958	1526
16-Aug-1958	1526
20-Aug-1958	1520
24-Aug-1958	1528
31-Aug-1958	1504
7-Sep-1958	1491
10-Sep-1958	1485
14-Sep-1958	1482
28-Sep-1958	1490
2-Oct-1958	1473
5-Oct-1958	1483
8-Oct-1958	1465
12-Oct-1958	1452
22-Oct-1958	1466
26-Oct-1958	1462
