date	rating
10-May-1908	1521
17-May-1908	1539
7-Jun-1908	1519
28-Jun-1908	1533
19-Jul-1908	1526
9-Aug-1908	1534
30-Aug-1908	1543
6-Sep-1908	1537
27-Sep-1908	1547
18-Oct-1908	1554
9-May-1909	1561
16-May-1909	1570
30-May-1909	1559
13-Jun-1909	1549
27-Jun-1909	1565
18-Jul-1909	1574
29-Aug-1909	1589
5-Sep-1909	1593
26-Sep-1909	1594
3-Oct-1909	1599
24-Oct-1909	1607
1-May-1910	1596
22-May-1910	1615
19-Jun-1910	1620
3-Jul-1910	1632
17-Jul-1910	1638
31-Jul-1910	1628
11-Sep-1910	1616
18-Sep-1910	1621
2-Oct-1910	1630
16-Oct-1910	1639
28-May-1911	1634
25-Jun-1911	1637
2-Jul-1911	1645
9-Jul-1911	1631
27-Aug-1911	1640
24-Sep-1911	1647
1-Oct-1911	1637
3-May-1913	1652
11-May-1913	1664
18-May-1913	1676
1-Jun-1913	1695
8-Jun-1913	1699
6-Jul-1913	1686
3-Aug-1913	1693
10-Aug-1913	1701
31-Aug-1913	1707
12-Oct-1913	1717
26-Oct-1913	1708
1-Nov-1913	1713
9-Nov-1913	1717
15-Nov-1913	1704
30-Nov-1913	1709
3-May-1914	1718
13-May-1914	1716
31-May-1914	1727
21-Jun-1914	1734
14-Jul-1914	1722
26-Jul-1914	1726
2-Aug-1914	1731
6-Sep-1914	1719
13-Sep-1914	1708
11-Oct-1914	1715
1-Nov-1914	1732
8-Nov-1914	1739
13-May-1915	1729
16-May-1915	1735
30-May-1915	1742
13-Jun-1915	1747
11-Jul-1915	1731
15-Aug-1915	1736
29-Aug-1915	1755
19-Sep-1915	1761
26-Sep-1915	1765
10-Oct-1915	1764
17-Oct-1915	1753
1-Nov-1915	1768
7-May-1916	1742
14-May-1916	1746
28-May-1916	1754
23-Jul-1916	1728
20-Aug-1916	1742
27-Aug-1916	1753
20-Sep-1916	1760
1-Oct-1916	1774
8-Oct-1916	1757
1-Nov-1916	1765
12-Nov-1916	1769
26-Nov-1916	1772
20-May-1917	1786
3-Jun-1917	1789
10-Jun-1917	1803
29-Jun-1917	1806
14-Jul-1917	1787
22-Jul-1917	1792
15-Aug-1917	1793
26-Aug-1917	1801
2-Sep-1917	1794
9-Sep-1917	1783
16-Sep-1917	1788
1-Nov-1917	1791
11-Nov-1917	1793
18-Nov-1917	1798
16-Dec-1917	1774
23-Dec-1917	1778
1-Jan-1918	1776
24-Feb-1918	1781
14-Apr-1918	1786
21-Apr-1918	1789
28-Apr-1918	1791
3-May-1918	1765
12-May-1918	1771
19-May-1918	1755
26-May-1918	1740
9-Jun-1918	1719
21-Jul-1918	1716
28-Jul-1918	1721
18-Aug-1918	1723
25-Aug-1918	1704
7-Sep-1918	1705
15-Sep-1918	1691
29-Sep-1918	1696
6-Oct-1918	1706
25-Dec-1918	1720
5-Jan-1919	1702
22-Jun-1919	1687
29-Jun-1919	1690
13-Jul-1919	1680
27-Jul-1919	1688
3-Aug-1919	1691
24-Aug-1919	1700
31-Aug-1919	1676
7-Sep-1919	1670
28-Sep-1919	1657
26-Oct-1919	1658
9-Nov-1919	1646
16-Nov-1919	1638
30-Nov-1919	1645
7-Dec-1919	1627
14-Dec-1919	1639
21-Dec-1919	1645
25-Dec-1919	1629
28-Dec-1919	1622
11-Apr-1920	1633
18-Apr-1920	1620
2-May-1920	1624
30-May-1920	1627
27-Jun-1920	1633
11-Jul-1920	1644
18-Jul-1920	1647
8-Aug-1920	1643
5-Sep-1920	1651
12-Sep-1920	1653
3-Oct-1920	1656
10-Oct-1920	1659
24-Oct-1920	1671
31-Oct-1920	1679
14-Nov-1920	1689
21-Nov-1920	1685
5-Dec-1920	1687
19-Dec-1920	1670
17-Apr-1921	1692
1-May-1921	1676
8-May-1921	1676
15-May-1921	1688
29-May-1921	1676
5-Jun-1921	1662
19-Jun-1921	1672
3-Jul-1921	1691
17-Jul-1921	1693
24-Jul-1921	1690
14-Aug-1921	1700
28-Aug-1921	1708
4-Sep-1921	1700
2-Apr-1922	1710
16-Apr-1922	1716
23-Apr-1922	1727
3-May-1922	1719
14-May-1922	1726
28-May-1922	1735
4-Jun-1922	1735
11-Jun-1922	1744
18-Jun-1922	1754
2-Jul-1922	1765
16-Jul-1922	1772
23-Jul-1922	1753
1-Sep-1922	1739
15-Apr-1923	1747
22-Apr-1923	1717
29-Apr-1923	1713
13-May-1923	1699
20-May-1923	1709
27-May-1923	1696
10-Jun-1923	1685
24-Jun-1923	1683
1-Jul-1923	1679
22-Jul-1923	1668
5-Aug-1923	1674
12-Aug-1923	1662
19-Aug-1923	1670
26-Aug-1923	1691
26-Apr-1925	1701
10-May-1925	1708
17-May-1925	1714
24-May-1925	1701
31-May-1925	1705
7-Jun-1925	1695
14-Jun-1925	1677
21-Jun-1925	1679
28-Jun-1925	1689
12-Jul-1925	1677
27-Sep-1925	1670
11-Oct-1925	1647
1-Nov-1925	1638
8-Nov-1925	1627
22-Nov-1925	1619
29-Nov-1925	1628
6-Dec-1925	1640
13-Dec-1925	1645
4-Apr-1926	1660
21-Apr-1926	1649
2-May-1926	1656
9-May-1926	1645
16-May-1926	1630
30-May-1926	1637
6-Jun-1926	1626
12-Jun-1926	1601
13-Jun-1926	1586
20-Jun-1926	1575
27-Jun-1926	1572
14-Jul-1926	1587
18-Jul-1926	1571
25-Jul-1926	1563
1-Aug-1926	1551
15-Aug-1926	1537
29-Aug-1926	1556
19-Sep-1926	1560
1-May-1927	1583
8-May-1927	1578
22-May-1927	1585
29-May-1927	1603
5-Jun-1927	1608
12-Jun-1927	1591
19-Jun-1927	1615
26-Jun-1927	1623
3-Jul-1927	1645
10-Jul-1927	1648
17-Jul-1927	1642
24-Jul-1927	1654
31-Jul-1927	1659
7-Aug-1927	1673
14-Aug-1927	1679
21-Aug-1927	1678
4-Sep-1927	1682
18-Sep-1927	1675
8-Apr-1928	1679
15-Apr-1928	1698
22-Apr-1928	1702
29-Apr-1928	1714
6-May-1928	1725
13-May-1928	1729
20-May-1928	1723
27-May-1928	1733
3-Jun-1928	1740
17-Jun-1928	1760
1-Jul-1928	1751
8-Jul-1928	1735
5-Aug-1928	1738
12-Aug-1928	1740
19-Aug-1928	1749
9-Sep-1928	1757
23-Sep-1928	1763
30-Sep-1928	1760
7-Oct-1928	1763
21-Oct-1928	1778
7-Apr-1929	1781
14-Apr-1929	1788
28-Apr-1929	1796
5-May-1929	1802
12-May-1929	1816
26-May-1929	1817
2-Jun-1929	1807
9-Jun-1929	1821
16-Jun-1929	1833
14-Jul-1929	1828
21-Jul-1929	1829
28-Jul-1929	1831
11-Aug-1929	1817
18-Aug-1929	1821
1-Sep-1929	1829
22-Sep-1929	1833
29-Sep-1929	1819
6-Oct-1929	1817
12-Oct-1929	1814
27-Oct-1929	1824
3-Nov-1929	1841
6-Apr-1930	1842
13-Apr-1930	1845
27-Apr-1930	1841
4-May-1930	1833
11-May-1930	1837
18-May-1930	1842
25-May-1930	1843
1-Jun-1930	1853
8-Jun-1930	1840
14-Sep-1930	1845
21-Sep-1930	1847
28-Sep-1930	1850
12-Oct-1930	1826
19-Oct-1930	1829
9-Nov-1930	1821
16-Nov-1930	1833
23-Nov-1930	1812
30-Nov-1930	1809
7-Dec-1930	1785
14-Dec-1930	1792
28-Dec-1930	1790
12-Apr-1931	1771
19-Apr-1931	1775
26-Apr-1931	1777
10-May-1931	1793
17-May-1931	1795
24-May-1931	1802
31-May-1931	1794
7-Jun-1931	1806
14-Jun-1931	1813
27-Sep-1931	1816
4-Oct-1931	1828
11-Oct-1931	1820
18-Oct-1931	1822
1-Nov-1931	1809
8-Nov-1931	1811
15-Nov-1931	1805
22-Nov-1931	1827
29-Nov-1931	1833
6-Dec-1931	1819
20-Dec-1931	1825
24-Apr-1932	1807
1-May-1932	1783
15-May-1932	1769
22-May-1932	1778
29-May-1932	1781
5-Jun-1932	1772
12-Jun-1932	1777
19-Jun-1932	1759
3-Jul-1932	1744
10-Jul-1932	1732
17-Jul-1932	1737
24-Jul-1932	1731
31-Jul-1932	1726
14-Aug-1932	1708
21-Aug-1932	1690
28-Aug-1932	1694
4-Sep-1932	1698
11-Sep-1932	1686
18-Sep-1932	1706
2-Oct-1932	1693
9-Oct-1932	1682
16-Oct-1932	1665
1-Oct-1937	1660
7-Oct-1937	1670
12-Oct-1937	1660
17-Oct-1937	1660
24-Oct-1937	1660
31-Oct-1937	1652
4-Nov-1937	1648
7-Nov-1937	1660
14-Nov-1937	1640
21-Nov-1937	1642
28-Nov-1937	1652
5-Dec-1937	1663
8-Dec-1937	1676
15-Dec-1937	1689
19-Dec-1937	1698
26-Dec-1937	1694
29-Dec-1937	1710
5-Jan-1938	1697
9-Jan-1938	1689
16-Jan-1938	1700
22-Jan-1938	1708
25-Jan-1938	1719
4-Sep-1938	1730
11-Sep-1938	1714
18-Sep-1938	1702
2-Oct-1938	1712
9-Oct-1938	1698
16-Oct-1938	1688
23-Oct-1938	1676
6-Nov-1938	1661
15-Nov-1938	1674
20-Nov-1938	1690
27-Nov-1938	1692
11-Dec-1938	1701
18-Dec-1938	1720
25-Dec-1938	1733
30-Dec-1938	1736
8-Jan-1939	1743
9-Apr-1939	1717
16-Apr-1939	1693
30-Apr-1939	1684
7-May-1939	1702
21-May-1939	1689
28-May-1939	1676
4-Jun-1939	1664
18-Jun-1939	1677
2-Jul-1939	1686
9-Jul-1939	1692
23-Jul-1939	1696
30-Jul-1939	1713
13-Aug-1939	1712
20-Aug-1939	1705
27-Aug-1939	1696
10-Sep-1939	1702
1-Oct-1939	1697
5-Oct-1939	1682
22-Oct-1939	1696
29-Oct-1939	1677
5-Nov-1939	1688
12-Nov-1939	1698
20-Nov-1939	1703
26-Nov-1939	1716
28-Apr-1940	1722
5-May-1940	1729
19-May-1940	1721
26-May-1940	1711
9-Jun-1940	1700
16-Jun-1940	1722
23-Jun-1940	1725
7-Jul-1940	1709
21-Jul-1940	1698
28-Jul-1940	1679
11-Aug-1940	1664
18-Aug-1940	1669
1-Sep-1940	1674
8-Sep-1940	1691
15-Sep-1940	1700
22-Sep-1940	1713
13-Oct-1940	1707
20-Oct-1940	1694
3-Nov-1940	1686
10-Nov-1940	1678
23-Nov-1940	1663
1-Dec-1940	1670
8-Dec-1940	1680
15-Dec-1940	1673
4-May-1941	1677
11-May-1941	1689
18-May-1941	1694
25-May-1941	1684
1-Jun-1941	1655
8-Jun-1941	1634
15-Jun-1941	1608
22-Jun-1941	1605
29-Jun-1941	1599
6-Jul-1941	1604
13-Jul-1941	1602
20-Jul-1941	1600
27-Jul-1941	1593
3-Aug-1941	1600
10-Aug-1941	1590
17-Aug-1941	1586
24-Aug-1941	1600
31-Aug-1941	1597
5-Apr-1942	1603
12-Apr-1942	1600
26-Apr-1942	1590
3-May-1942	1587
10-May-1942	1614
17-May-1942	1601
24-May-1942	1611
31-May-1942	1607
7-Jun-1942	1586
14-Jun-1942	1582
21-Jun-1942	1556
28-Jun-1942	1568
5-Jul-1942	1563
12-Jul-1942	1561
19-Jul-1942	1560
26-Jul-1942	1572
2-Aug-1942	1579
8-Aug-1942	1593
16-Aug-1942	1598
23-Aug-1942	1614
30-Aug-1942	1633
6-Sep-1942	1640
13-Sep-1942	1635
20-Sep-1942	1642
27-Sep-1942	1636
4-Oct-1942	1628
11-Oct-1942	1637
13-Jun-1943	1632
20-Jun-1943	1631
27-Jun-1943	1659
4-Jul-1943	1677
11-Jul-1943	1689
18-Jul-1943	1712
25-Jul-1943	1695
1-Aug-1943	1699
8-Aug-1943	1710
15-Aug-1943	1694
22-Aug-1943	1681
29-Aug-1943	1701
5-Sep-1943	1695
12-Sep-1943	1673
18-Sep-1943	1669
26-Sep-1943	1689
2-Oct-1943	1693
10-Oct-1943	1685
2-Jul-1944	1701
9-Jul-1944	1711
15-Jul-1944	1701
23-Jul-1944	1677
29-Jul-1944	1669
6-Aug-1944	1673
12-Aug-1944	1683
20-Aug-1944	1664
27-Aug-1944	1666
3-Sep-1944	1660
10-Sep-1944	1655
16-Sep-1944	1671
24-Sep-1944	1683
1-Oct-1944	1696
8-Oct-1944	1700
15-Oct-1944	1715
22-Oct-1944	1712
29-Oct-1944	1697
15-Jul-1945	1714
22-Jul-1945	1720
29-Jul-1945	1726
5-Aug-1945	1719
19-Aug-1945	1725
26-Aug-1945	1728
2-Sep-1945	1735
9-Sep-1945	1736
16-Sep-1945	1729
23-Sep-1945	1737
30-Sep-1945	1729
7-Oct-1945	1732
13-Oct-1945	1723
21-Oct-1945	1735
28-Oct-1945	1725
3-Nov-1945	1735
11-Nov-1945	1742
18-Nov-1945	1765
7-Jul-1946	1750
14-Jul-1946	1756
20-Jul-1946	1758
29-Jul-1946	1748
4-Aug-1946	1752
10-Aug-1946	1739
17-Aug-1946	1757
25-Aug-1946	1763
1-Sep-1946	1784
7-Sep-1946	1792
15-Sep-1946	1798
22-Sep-1946	1799
29-Sep-1946	1820
5-Oct-1946	1824
13-Oct-1946	1840
27-Oct-1946	1830
2-Nov-1946	1834
10-Nov-1946	1820
15-Nov-1946	1811
24-Nov-1946	1794
30-Nov-1946	1787
7-Dec-1946	1775
14-Dec-1946	1762
21-Dec-1946	1755
3-Aug-1947	1744
10-Aug-1947	1758
17-Aug-1947	1761
31-Aug-1947	1765
6-Sep-1947	1766
14-Sep-1947	1769
21-Sep-1947	1780
27-Sep-1947	1786
5-Oct-1947	1775
12-Oct-1947	1768
19-Oct-1947	1761
29-Oct-1947	1750
1-Nov-1947	1743
16-Nov-1947	1747
23-Nov-1947	1749
29-Nov-1947	1753
6-Dec-1947	1759
13-Dec-1947	1766
21-Dec-1947	1784
28-Dec-1947	1798
11-Jul-1948	1802
18-Jul-1948	1806
25-Jul-1948	1792
4-Aug-1948	1784
15-Aug-1948	1768
22-Aug-1948	1750
29-Aug-1948	1757
5-Sep-1948	1745
19-Sep-1948	1739
25-Sep-1948	1704
3-Oct-1948	1681
